scalerank,featurecla,LABELRANK,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,BRK_DIFF,NAME,NAME_LONG,BRK_A3,BRK_NAME,BRK_GROUP,ABBREV,POSTAL,FORMAL_EN,FORMAL_FR,NOTE_ADM0,NOTE_BRK,NAME_SORT,NAME_ALT,MAPCOLOR7,MAPCOLOR8,MAPCOLOR9,MAPCOLOR13,POP_EST,GDP_MD_EST,POP_YEAR,LASTCENSUS,GDP_YEAR,ECONOMY,INCOME_GRP,WIKIPEDIA,FIPS_10_,ISO_A2,ISO_A3,ISO_N3,UN_A3,WB_A2,WB_A3,WOE_ID,WOE_ID_EH,WOE_NOTE,ADM0_A3_IS,ADM0_A3_US,ADM0_A3_UN,ADM0_A3_WB,CONTINENT,REGION_UN,SUBREGION,REGION_WB,NAME_LEN,LONG_LEN,ABBREV_LEN,TINY,HOMEPART,Rank,Color
0,Admin-0 country,2,United States of America,US1,1,2,Country,United States of America,USA,0,United States of America,USA,0,United States of America,USA,0,United States,United States,USA,United States,,U.S.A.,US,United States of America,,,,United States of America,,4,5,1,1,313973000,15094000,0,2010,0,1. Developed region: G7,1. High income: OECD,0,US,US,USA,840,840,US,USA,23424977,23424977,Exact WOE match as country,USA,USA,-99,-99,North America,Americas,Northern America,North America,13,13,6,-99,1,4,#2c7bb6
0,Admin-0 country,2,India,IND,0,2,Sovereign country,India,IND,0,India,IND,0,India,IND,0,India,India,IND,India,,India,IND,Republic of India,,,,India,,1,3,2,2,1166079217,3297000,-99,2011,-99,3. Emerging region: BRIC,4. Lower middle income,-99,IN,IN,IND,356,356,IN,IND,23424848,23424848,Exact WOE match as country,IND,IND,-99,-99,Asia,Asia,Southern Asia,South Asia,5,5,5,-99,1,4,#2c7bb6
0,Admin-0 country,2,Russia,RUS,0,2,Sovereign country,Russia,RUS,0,Russia,RUS,0,Russia,RUS,0,Russia,Russian Federation,RUS,Russia,,Rus.,RUS,Russian Federation,,,,Russian Federation,,2,5,7,7,140041247,2266000,-99,2010,-99,3. Emerging region: BRIC,3. Upper middle income,-99,RS,RU,RUS,643,643,RU,RUS,23424936,23424936,Exact WOE match as country,RUS,RUS,-99,-99,Europe,Europe,Eastern Europe,Europe & Central Asia,6,18,4,-99,1,3,"#abd9e9
"
0,Admin-0 country,2,Canada,CAN,0,2,Sovereign country,Canada,CAN,0,Canada,CAN,0,Canada,CAN,0,Canada,Canada,CAN,Canada,,Can.,CA,Canada,,,,Canada,,6,6,2,2,33487208,1300000,-99,2011,-99,1. Developed region: G7,1. High income: OECD,-99,CA,CA,CAN,124,124,CA,CAN,23424775,23424775,Exact WOE match as country,CAN,CAN,-99,-99,North America,Americas,Northern America,North America,6,6,4,-99,1,2,"#fdae61
"
0,Admin-0 country,2,Iran,IRN,0,2,Sovereign country,Iran,IRN,0,Iran,IRN,0,Iran,IRN,0,Iran,Iran,IRN,Iran,,Iran,IRN,Islamic Republic of Iran,,,,"Iran, Islamic Rep.",,4,3,4,13,66429284,841700,-99,2006,-99,5. Emerging region: G20,3. Upper middle income,-99,IR,IR,IRN,364,364,IR,IRN,23424851,23424851,Exact WOE match as country,IRN,IRN,-99,-99,Asia,Asia,Southern Asia,Middle East & North Africa,4,4,4,-99,1,3,"#abd9e9
"
0,Admin-0 country,2,Peru,PER,0,2,Sovereign country,Peru,PER,0,Peru,PER,0,Peru,PER,0,Peru,Peru,PER,Peru,,Peru,PE,Republic of Peru,,,,Peru,,4,4,4,11,29546963,247300,-99,2007,-99,5. Emerging region: G20,3. Upper middle income,-99,PE,PE,PER,604,604,PE,PER,23424919,23424919,Exact WOE match as country,PER,PER,-99,-99,South America,Americas,South America,Latin America & Caribbean,4,4,4,-99,1,0,#a5a5a5
0,Admin-0 country,2,Saudi Arabia,SAU,0,2,Sovereign country,Saudi Arabia,SAU,0,Saudi Arabia,SAU,0,Saudi Arabia,SAU,0,Saudi Arabia,Saudi Arabia,SAU,Saudi Arabia,,Saud.,SA,Kingdom of Saudi Arabia,,,,Saudi Arabia,,6,1,6,7,28686633,576500,-99,2010,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,SA,SA,SAU,682,682,SA,SAU,23424938,23424938,Exact WOE match as country,SAU,SAU,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,12,12,5,-99,1,1,#d7191c
0,Admin-0 country,2,China,CH1,1,2,Country,China,CHN,0,China,CHN,0,China,CHN,0,China,China,CHN,China,,China,CN,People's Republic of China,,,,China,,4,4,4,3,1338612968,7973000,-99,2010,-99,3. Emerging region: BRIC,3. Upper middle income,-99,CH,CN,CHN,156,156,CN,CHN,23424781,23424781,Exact WOE match as country,CHN,CHN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,5,5,5,-99,1,4,#2c7bb6
0,Admin-0 country,2,France,FR1,1,2,Country,France,FRA,0,France,FRA,0,France,FRA,0,France,France,FRA,France,,Fr.,F,French Republic,,,,France,,7,5,9,11,64057792,2128000,-99,-99,-99,1. Developed region: G7,1. High income: OECD,-99,FR,-99,-99,250,250,FR,FRA,-90,23424819,Includes only Metropolitan France (including Corsica),FRA,FRA,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,6,6,3,-99,1,4,#2c7bb6
0,Admin-0 country,2,Mexico,MEX,0,2,Sovereign country,Mexico,MEX,0,Mexico,MEX,0,Mexico,MEX,0,Mexico,Mexico,MEX,Mexico,,Mex.,MX,United Mexican States,,,,Mexico,,6,1,7,3,111211789,1563000,-99,2010,-99,4. Emerging region: MIKT,3. Upper middle income,-99,MX,MX,MEX,484,484,MX,MEX,23424900,23424900,Exact WOE match as country,MEX,MEX,-99,-99,North America,Americas,Central America,Latin America & Caribbean,6,6,4,-99,1,4,#2c7bb6
0,Admin-0 country,2,Germany,DEU,0,2,Sovereign country,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,,,Germany,,2,5,5,1,82329758,2918000,-99,2011,-99,1. Developed region: G7,1. High income: OECD,-99,GM,DE,DEU,276,276,DE,DEU,23424829,23424829,Exact WOE match as country,DEU,DEU,-99,-99,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,-99,1,4,#2c7bb6
0,Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,-99,UK,GB,GBR,826,826,GB,GBR,-90,23424975,"Eh ID includes Channel Islands and Isle of Man. UK constituent countries of England (24554868), Wales (12578049), Scotland (12578048), and Northern Ireland (20070563).",GBR,GBR,-99,-99,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,-99,1,4,#2c7bb6
0,Admin-0 country,2,South Africa,ZAF,0,2,Sovereign country,South Africa,ZAF,0,South Africa,ZAF,0,South Africa,ZAF,0,South Africa,South Africa,ZAF,South Africa,,S.Af.,ZA,Republic of South Africa,,,,South Africa,,2,3,4,2,49052489,491000,-99,2001,-99,5. Emerging region: G20,3. Upper middle income,-99,SF,ZA,ZAF,710,710,ZA,ZAF,23424942,23424942,Exact WOE match as country,ZAF,ZAF,-99,-99,Africa,Africa,Southern Africa,Sub-Saharan Africa,12,12,5,-99,1,3,"#abd9e9
"
0,Admin-0 country,2,Japan,JPN,0,2,Sovereign country,Japan,JPN,0,Japan,JPN,0,Japan,JPN,0,Japan,Japan,JPN,Japan,,Japan,J,Japan,,,,Japan,,5,3,5,4,127078679,4329000,-99,2010,-99,1. Developed region: G7,1. High income: OECD,-99,JA,JP,JPN,392,392,JP,JPN,23424856,23424856,Exact WOE match as country,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,5,5,5,-99,1,1,#d7191c
0,Admin-0 country,2,Brazil,BRA,0,2,Sovereign country,Brazil,BRA,0,Brazil,BRA,0,Brazil,BRA,0,Brazil,Brazil,BRA,Brazil,,Brazil,BR,Federative Republic of Brazil,,,,Brazil,,5,6,5,7,198739269,1993000,-99,2010,-99,3. Emerging region: BRIC,3. Upper middle income,-99,BR,BR,BRA,076,076,BR,BRA,23424768,23424768,Exact WOE match as country,BRA,BRA,-99,-99,South America,Americas,South America,Latin America & Caribbean,6,6,6,-99,1,3,"#abd9e9
"
